id,year,month,day,tavg,precip,qobs,latitude,date
01094500,1994,1,1,-9.4269444444445,0.254,1.198542601432,42.573291,1994-01-01
01094500,1994,1,2,-3.033333333333,0.762,1.233536545999,42.573291,1994-01-02
01094500,1994,1,3,-2.5999999999999996,2.6162,1.172297143006,42.573291,1994-01-03
01094500,1994,1,4,-8.425,16.81226,1.181045629148,42.573291,1994-01-04
01094500,1994,1,5,-10.5461111111115,1.618488,1.242285032141,42.573291,1994-01-05
01094500,1994,1,6,-11.047888888888501,2.225802,1.049818337021,42.573291,1994-01-06
01094500,1994,1,7,-14.280277777778,10.28192,1.067315309304,42.573291,1994-01-07
01094500,1994,1,8,-11.360277777777501,12.6492,1.128554712297,42.573291,1994-01-08
01094500,1994,1,9,-9.561666666667,0.564642,1.09356076773,42.573291,1994-01-09
01094500,1994,1,10,-12.893888888889,0.0,1.049818337021,42.573291,1994-01-10
01094500,1994,1,11,-14.937222222222001,0.0,0.99732742017,42.573291,1994-01-11
01094500,1994,1,12,-12.154722222222,3.19786,1.006075906311,42.573291,1994-01-12
01094500,1994,1,13,-8.613888888889,0.75565,1.006075906311,42.573291,1994-01-13
01094500,1994,1,14,-2.6527777777779997,0.447802,0.979830447886,42.573291,1994-01-14
01094500,1994,1,15,-9.3270277777775,0.0504444,0.901094072609,42.573291,1994-01-15
01094500,1994,1,16,-17.880555555556,0.0,0.796112238907,42.573291,1994-01-16
01094500,1994,1,17,-17.0361111111115,29.3116,0.8573516419,42.573291,1994-01-17
01094500,1994,1,18,-9.0794444444445,14.78788,2.528312494991,42.573291,1994-01-18
01094500,1994,1,19,-14.1227777777775,0.0,2.239612452311,42.573291,1994-01-19
01094500,1994,1,20,-20.5172222222225,0.0,1.758445714509,42.573291,1994-01-20
01094500,1994,1,21,-19.994444444444,0.0,1.452248699545,42.573291,1994-01-21
01094500,1994,1,22,-16.772222222222002,0.0,1.303524435134,42.573291,1994-01-22
01094500,1994,1,23,-13.420555555555499,0.0,1.128554712297,42.573291,1994-01-23
01094500,1994,1,24,-10.859444444444499,1.00965,1.09356076773,42.573291,1994-01-24
01094500,1994,1,25,-3.5277777777780006,0.762,1.067315309304,42.573291,1994-01-25
01094500,1994,1,26,-9.0555555555555,4.43992,0.979830447886,42.573291,1994-01-26
01094500,1994,1,27,-20.7194444444445,7.44728,0.909842558751,42.573291,1994-01-27
01094500,1994,1,28,-16.8944444444445,26.8986,1.793439659077,42.573291,1994-01-28
01094500,1994,1,29,1.2416666666664997,1.693418,4.671691599741,42.573291,1994-01-29
01094500,1994,1,30,-4.922222222222,0.0,3.464400512168,42.573291,1994-01-30
01094500,1994,1,31,-10.362777777777499,0.0,2.362091258296,42.573291,1994-01-31
01094500,1994,2,1,-11.425666666666501,0.0,1.837182089786,42.573291,1994-02-01
01094500,1994,2,2,-15.1780555555555,0.0,1.574727505531,42.573291,1994-02-02
01094500,1994,2,3,-13.4672222222225,0.762,1.356015351985,42.573291,1994-02-03
01094500,1994,2,4,-12.889722222222,0.0,1.224788059857,42.573291,1994-02-04
01094500,1994,2,5,-9.644722222222502,0.0,1.224788059857,42.573291,1994-02-05
